REGION,TECHNOLOGY,YEAR,VALUE
"EXAMPLE","PWRGAS",2019,184.194941197573
"EXAMPLE","PWRGAS",2020,184.194941197573
"EXAMPLE","PWRGAS",2021,184.194941197573
"EXAMPLE","PWRGAS",2022,184.194941197573
"EXAMPLE","PWRHYD",2019,227.718434353785
"EXAMPLE","PWRHYD",2020,227.718434353785
"EXAMPLE","PWRHYD",2021,227.718434353785
"EXAMPLE","PWRHYD",2022,227.718434353785
"EXAMPLE","PWRSOL",2019,50.5813888288641
"EXAMPLE","PWRSOL",2020,50.5813888288641
"EXAMPLE","PWRSOL",2021,50.5813888288641
"EXAMPLE","PWRSOL",2022,50.5813888288641
