REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"EXAMPLE","SD","MINHYD",1,2019,64631.9569120287
"EXAMPLE","SD","MINHYD",1,2020,64631.9569120287
"EXAMPLE","SD","MINHYD",1,2021,64631.9569120287
"EXAMPLE","SD","MINHYD",1,2022,64631.9569120287
"EXAMPLE","SD","MINSOL",1,2019,35.8905302574089
"EXAMPLE","SD","MINSOL",1,2020,35.8905302574088
"EXAMPLE","SD","MINSOL",1,2021,35.8905302574088
"EXAMPLE","SD","MINSOL",1,2022,35.8905302574088
"EXAMPLE","SD","PWRHYD",1,2019,35.9066427289048
"EXAMPLE","SD","PWRHYD",1,2020,35.9066427289048
"EXAMPLE","SD","PWRHYD",1,2021,35.9066427289048
"EXAMPLE","SD","PWRHYD",1,2022,35.9066427289048
"EXAMPLE","SD","PWRSOL",1,2019,35.8905302574089
"EXAMPLE","SD","PWRSOL",1,2020,35.8905302574088
"EXAMPLE","SD","PWRSOL",1,2021,35.8905302574088
"EXAMPLE","SD","PWRSOL",1,2022,35.8905302574088
"EXAMPLE","SD","PWRTRN",1,2019,35.9066427289048
"EXAMPLE","SD","PWRTRN",1,2020,35.9066427289048
"EXAMPLE","SD","PWRTRN",1,2021,35.9066427289048
"EXAMPLE","SD","PWRTRN",1,2022,35.9066427289048
"EXAMPLE","SN","MINHYD",1,2019,64631.9569120287
"EXAMPLE","SN","MINHYD",1,2020,64631.9569120287
"EXAMPLE","SN","MINHYD",1,2021,64631.9569120288
"EXAMPLE","SN","MINHYD",1,2022,64631.9569120287
"EXAMPLE","SN","PWRHYD",1,2019,35.9066427289048
"EXAMPLE","SN","PWRHYD",1,2020,35.9066427289048
"EXAMPLE","SN","PWRHYD",1,2021,35.9066427289048
"EXAMPLE","SN","PWRHYD",1,2022,35.9066427289048
"EXAMPLE","SN","PWRTRN",1,2019,35.9066427289048
"EXAMPLE","SN","PWRTRN",1,2020,35.9066427289048
"EXAMPLE","SN","PWRTRN",1,2021,35.9066427289048
"EXAMPLE","SN","PWRTRN",1,2022,35.9066427289048
"EXAMPLE","WD","DEMPWRGAS",1,2019,41.7415857999577
"EXAMPLE","WD","DEMPWRGAS",1,2020,41.7415857999578
"EXAMPLE","WD","DEMPWRGAS",1,2021,41.7415857999577
"EXAMPLE","WD","DEMPWRGAS",1,2022,41.7415857999577
"EXAMPLE","WD","MINHYD",1,2019,107719.928186715
"EXAMPLE","WD","MINHYD",1,2020,107719.928186715
"EXAMPLE","WD","MINHYD",1,2021,107719.928186715
"EXAMPLE","WD","MINHYD",1,2022,107719.928186715
"EXAMPLE","WD","MINSOL",1,2019,27.9148568668735
"EXAMPLE","WD","MINSOL",1,2020,27.9148568668735
"EXAMPLE","WD","MINSOL",1,2021,27.9148568668735
"EXAMPLE","WD","MINSOL",1,2022,27.9148568668735
"EXAMPLE","WD","PWRGAS",1,2019,20.8707928999789
"EXAMPLE","WD","PWRGAS",1,2020,20.8707928999789
"EXAMPLE","WD","PWRGAS",1,2021,20.8707928999789
"EXAMPLE","WD","PWRGAS",1,2022,20.8707928999789
"EXAMPLE","WD","PWRHYD",1,2019,59.8444045481747
"EXAMPLE","WD","PWRHYD",1,2020,59.8444045481747
"EXAMPLE","WD","PWRHYD",1,2021,59.8444045481747
"EXAMPLE","WD","PWRHYD",1,2022,59.8444045481747
"EXAMPLE","WD","PWRSOL",1,2019,27.9148568668735
"EXAMPLE","WD","PWRSOL",1,2020,27.9148568668735
"EXAMPLE","WD","PWRSOL",1,2021,27.9148568668735
"EXAMPLE","WD","PWRSOL",1,2022,27.9148568668735
"EXAMPLE","WD","PWRTRN",1,2019,80.7151974481536
"EXAMPLE","WD","PWRTRN",1,2020,80.7151974481536
"EXAMPLE","WD","PWRTRN",1,2021,80.7151974481536
"EXAMPLE","WD","PWRTRN",1,2022,80.7151974481536
"EXAMPLE","WN","DEMPWRGAS",1,2019,387.251444373777
"EXAMPLE","WN","DEMPWRGAS",1,2020,387.251444373777
"EXAMPLE","WN","DEMPWRGAS",1,2021,387.251444373777
"EXAMPLE","WN","DEMPWRGAS",1,2022,387.251444373777
"EXAMPLE","WN","MINHYD",1,2019,107719.928186714
"EXAMPLE","WN","MINHYD",1,2020,107719.928186715
"EXAMPLE","WN","MINHYD",1,2021,107719.928186715
"EXAMPLE","WN","MINHYD",1,2022,107719.928186715
"EXAMPLE","WN","PWRGAS",1,2019,193.625722186889
"EXAMPLE","WN","PWRGAS",1,2020,193.625722186889
"EXAMPLE","WN","PWRGAS",1,2021,193.625722186889
"EXAMPLE","WN","PWRGAS",1,2022,193.625722186889
"EXAMPLE","WN","PWRHYD",1,2019,59.8444045481747
"EXAMPLE","WN","PWRHYD",1,2020,59.8444045481747
"EXAMPLE","WN","PWRHYD",1,2021,59.8444045481747
"EXAMPLE","WN","PWRHYD",1,2022,59.8444045481747
"EXAMPLE","WN","PWRTRN",1,2019,253.470126735063
"EXAMPLE","WN","PWRTRN",1,2020,253.470126735063
"EXAMPLE","WN","PWRTRN",1,2021,253.470126735063
"EXAMPLE","WN","PWRTRN",1,2022,253.470126735063
