
Summary,EXAMPLE
Emissions

Cost,32242.6

TID Demand

,EXAMPLE
Fuel,2019,2020,2021,2022
COA,0,0,0,0,
ELC001,0,0,0,0,
ELC002,0,0,0,0,
GAS,0,0,0,0,
HYD,0,0,0,0,
SOL,0,0,0,0,
WAT,0,0,0,0,
WND,0,0,0,0,

Time Dependent Demand (Energy Units)

,EXAMPLE
Fuel,Timeslice,2019,2020,2021,2022
COA,SD,0,0,0,0
COA,SN,0,0,0,0
COA,WD,0,0,0,0
COA,WN,0,0,0,0
ELC001,SD,0,0,0,0
ELC001,SN,0,0,0,0
ELC001,WD,0,0,0,0
ELC001,WN,0,0,0,0
ELC002,SD,32,32,32,32
ELC002,SN,8,8,8,8
ELC002,WD,18,18,18,18
ELC002,WN,42,42,42,42
GAS,SD,0,0,0,0
GAS,SN,0,0,0,0
GAS,WD,0,0,0,0
GAS,WN,0,0,0,0
HYD,SD,0,0,0,0
HYD,SN,0,0,0,0
HYD,WD,0,0,0,0
HYD,WN,0,0,0,0
SOL,SD,0,0,0,0
SOL,SN,0,0,0,0
SOL,WD,0,0,0,0
SOL,WN,0,0,0,0
WAT,SD,0,0,0,0
WAT,SN,0,0,0,0
WAT,WD,0,0,0,0
WAT,WN,0,0,0,0
WND,SD,0,0,0,0
WND,SN,0,0,0,0
WND,WD,0,0,0,0
WND,WN,0,0,0,0

Time Dependent Production (Energy Units) Test

,EXAMPLE
Fuel,Timeslice,2019,2020,2021,2022
COA,SD,0,0,0,0
COA,SN,0,0,0,0
COA,WD,0,0,0,0
COA,WN,0,0,0,0
ELC001,SD,16.0036,16.0036,16.0036,16.0036
ELC001,SN,8,8,8,8
ELC001,WD,13.3745,13.3745,13.3745,13.3745
ELC001,WN,42,42,42,42
ELC002,SD,32,32,32,32
ELC002,SN,8,8,8,8
ELC002,WD,18,18,18,18
ELC002,WN,42,42,42,42
GAS,SD,0,0,0,0
GAS,SN,0,0,0,0
GAS,WD,6.91658,6.91658,6.91658,6.91658
GAS,WN,64.1676,64.1676,64.1676,64.1676
HYD,SD,28806.5,28806.5,28806.5,28806.5
HYD,SN,14400,14400,14400,14400
HYD,WD,17849.2,17849.2,17849.2,17849.2
HYD,WN,17849.2,17849.2,17849.2,17849.2
SOL,SD,15.9964,15.9964,15.9964,15.9964
SOL,SN,0,0,0,0
SOL,WD,4.62549,4.62549,4.62549,4.62549
SOL,WN,0,0,0,0
WAT,SD,28806.5,28806.5,28806.5,28806.5
WAT,SN,14400,14400,14400,14400
WAT,WD,17849.2,17849.2,17849.2,17849.2
WAT,WN,17849.2,17849.2,17849.2,17849.2
WND,SD,0,0,0,0
WND,SN,0,0,0,0
WND,WD,0,0,0,0
WND,WN,0,0,0,0

TotalAnnualCapacity (Capacity Units)
Technology,2019,2020,2021,2022
DEMPWRCOA,0,0,0,0
DEMPWRGAS,387.251,387.251,387.251,387.251
MINHYD,107720,107720,107720,107720
MINSOL,35.8905,35.8905,35.8905,35.8905
MINWND,0,0,0,0
PWRCOA,0,0,0,0
PWRGAS,6.13983,6.13983,6.13983,6.13983
PWRHYD,3.79531,3.79531,3.79531,3.79531
PWRSOL,2.52907,2.52907,2.52907,2.52907
PWRTRN,8.03748,8.03748,8.03748,8.03748
PWRWND,0,0,0,0

NewCapacity (Capacity Units )
Technology,2019,2020,2021,2022
DEMPWRCOA,0,0,0,0
DEMPWRGAS,387.251,0,0,0
MINHYD,107720,107720,107720,107720
MINSOL,35.8905,35.8905,35.8905,35.8905
MINWND,0,0,0,0
PWRCOA,0,0,0,0
PWRGAS,6.13983,0,0,0
PWRHYD,3.79531,0,0,0
PWRSOL,2.52907,0,0,0
PWRTRN,8.03748,0,0,0
PWRWND,0,0,0,0


Annual Production (Energy Units)
,EXAMPLE
Technology,Fuel,2019,2020,2021,2022
DEMPWRCOA,COA,0,0,0,0
DEMPWRCOA,ELC001,0,0,0,0
DEMPWRCOA,ELC002,0,0,0,0
DEMPWRCOA,GAS,0,0,0,0
DEMPWRCOA,HYD,0,0,0,0
DEMPWRCOA,SOL,0,0,0,0
DEMPWRCOA,WAT,0,0,0,0
DEMPWRCOA,WND,0,0,0,0
DEMPWRGAS,COA,0,0,0,0
DEMPWRGAS,ELC001,0,0,0,0
DEMPWRGAS,ELC002,0,0,0,0
DEMPWRGAS,GAS,71.0841,71.0841,71.0841,71.0841
DEMPWRGAS,HYD,0,0,0,0
DEMPWRGAS,SOL,0,0,0,0
DEMPWRGAS,WAT,0,0,0,0
DEMPWRGAS,WND,0,0,0,0
MINHYD,COA,0,0,0,0
MINHYD,ELC001,0,0,0,0
MINHYD,ELC002,0,0,0,0
MINHYD,GAS,0,0,0,0
MINHYD,HYD,78904.8,78904.8,78904.8,78904.8
MINHYD,SOL,0,0,0,0
MINHYD,WAT,0,0,0,0
MINHYD,WND,0,0,0,0
MINSOL,COA,0,0,0,0
MINSOL,ELC001,0,0,0,0
MINSOL,ELC002,0,0,0,0
MINSOL,GAS,0,0,0,0
MINSOL,HYD,0,0,0,0
MINSOL,SOL,20.6219,20.6219,20.6219,20.6219
MINSOL,WAT,0,0,0,0
MINSOL,WND,0,0,0,0
MINWND,COA,0,0,0,0
MINWND,ELC001,0,0,0,0
MINWND,ELC002,0,0,0,0
MINWND,GAS,0,0,0,0
MINWND,HYD,0,0,0,0
MINWND,SOL,0,0,0,0
MINWND,WAT,0,0,0,0
MINWND,WND,0,0,0,0
PWRCOA,COA,0,0,0,0
PWRCOA,ELC001,0,0,0,0
PWRCOA,ELC002,0,0,0,0
PWRCOA,GAS,0,0,0,0
PWRCOA,HYD,0,0,0,0
PWRCOA,SOL,0,0,0,0
PWRCOA,WAT,0,0,0,0
PWRCOA,WND,0,0,0,0
PWRGAS,COA,0,0,0,0
PWRGAS,ELC001,35.5421,35.5421,35.5421,35.5421
PWRGAS,ELC002,0,0,0,0
PWRGAS,GAS,0,0,0,0
PWRGAS,HYD,0,0,0,0
PWRGAS,SOL,0,0,0,0
PWRGAS,WAT,0,0,0,0
PWRGAS,WND,0,0,0,0
PWRHYD,COA,0,0,0,0
PWRHYD,ELC001,43.836,43.836,43.836,43.836
PWRHYD,ELC002,0,0,0,0
PWRHYD,GAS,0,0,0,0
PWRHYD,HYD,0,0,0,0
