REGION,TECHNOLOGY,YEAR,VALUE
"EXAMPLE","DEMPWRGAS",2019,387.251444373777
"EXAMPLE","DEMPWRGAS",2020,387.251444373777
"EXAMPLE","DEMPWRGAS",2021,387.251444373777
"EXAMPLE","DEMPWRGAS",2022,387.251444373777
"EXAMPLE","MINHYD",2019,107719.928186714
"EXAMPLE","MINHYD",2020,107719.928186715
"EXAMPLE","MINHYD",2021,107719.928186715
"EXAMPLE","MINHYD",2022,107719.928186715
"EXAMPLE","MINSOL",2019,35.8905302574089
"EXAMPLE","MINSOL",2020,35.8905302574088
"EXAMPLE","MINSOL",2021,35.8905302574088
"EXAMPLE","MINSOL",2022,35.8905302574088
"EXAMPLE","PWRGAS",2019,6.13983137325243
"EXAMPLE","PWRGAS",2020,6.13983137325243
"EXAMPLE","PWRGAS",2021,6.13983137325243
"EXAMPLE","PWRGAS",2022,6.13983137325243
"EXAMPLE","PWRHYD",2019,3.79530723922975
"EXAMPLE","PWRHYD",2020,3.79530723922975
"EXAMPLE","PWRHYD",2021,3.79530723922975
"EXAMPLE","PWRHYD",2022,3.79530723922975
"EXAMPLE","PWRSOL",2019,2.52906944144321
"EXAMPLE","PWRSOL",2020,2.52906944144321
"EXAMPLE","PWRSOL",2021,2.52906944144321
"EXAMPLE","PWRSOL",2022,2.52906944144321
"EXAMPLE","PWRTRN",2019,8.03748499286731
"EXAMPLE","PWRTRN",2020,8.03748499286731
"EXAMPLE","PWRTRN",2021,8.03748499286731
"EXAMPLE","PWRTRN",2022,8.03748499286731
