scenario,country,tech,year,value
FP_COOP20,Albania,AL-Import,2021,2616.0
FP_COOP20,Albania,AL-Import,2022,2724.22
FP_COOP20,Albania,AL-Import,2023,2416.2
FP_COOP20,Albania,AL-Import,2024,2483.25
FP_COOP20,Albania,AL-Import,2025,2088.84
FP_COOP20,Albania,AL-Import,2026,2122.67
FP_COOP20,Albania,AL-Import,2027,2215.5
FP_COOP20,Albania,AL-Import,2028,2299.03
FP_COOP20,Albania,AL-Import,2029,2389.22
FP_COOP20,Albania,AL-Import,2030,2484.45
FP_COOP20,Albania,AL-Import,2031,2564.72
FP_COOP20,Albania,AL-Import,2032,2648.14
FP_COOP20,Albania,AL-Import,2033,2738.84
FP_COOP20,Albania,AL-Import,2034,2828.81
FP_COOP20,Albania,AL-Import,2035,2918.22
FP_COOP20,Albania,AL-Import,2036,2948.47
FP_COOP20,Albania,AL-Import,2037,2979.31
FP_COOP20,Albania,AL-Import,2038,3009.45
FP_COOP20,Albania,AL-Import,2039,3041.95
FP_COOP20,Albania,AL-Import,2040,3058.97
FP_COOP20,Albania,AL-Import,2041,3159.14
FP_COOP20,Albania,AL-Import,2042,3639.34
FP_COOP20,Albania,AL-Import,2043,3680.56
FP_COOP20,Albania,AL-Import,2044,3680.56
FP_COOP20,Albania,AL-Import,2045,3680.56
FP_COOP20,Albania,AL-Import,2046,3680.56
FP_COOP20,Albania,AL-Import,2047,3680.56
FP_COOP20,Albania,AL-Import,2048,3680.56
FP_COOP20,Albania,AL-Import,2049,3680.56
FP_COOP20,Albania,AL-Import,2050,3680.56
FP_COOP20,Albania,Fierza,2021,1753.14
FP_COOP20,Albania,Fierza,2022,1753.67
FP_COOP20,Albania,Fierza,2023,1752.95
FP_COOP20,Albania,Fierza,2024,1753.28
FP_COOP20,Albania,Fierza,2025,1714.83
FP_COOP20,Albania,Fierza,2026,1768.47
FP_COOP20,Albania,Fierza,2027,1760.56
FP_COOP20,Albania,Fierza,2028,1761.2
FP_COOP20,Albania,Fierza,2029,1759.83
FP_COOP20,Albania,Fierza,2030,1753.67
FP_COOP20,Albania,Fierza,2031,1753.95
FP_COOP20,Albania,Fierza,2032,1754.22
FP_COOP20,Albania,Fierza,2033,1754.61
FP_COOP20,Albania,Fierza,2034,1755.08
FP_COOP20,Albania,Fierza,2035,1755.2
FP_COOP20,Albania,Fierza,2036,1755.2
FP_COOP20,Albania,Fierza,2037,1755.2
FP_COOP20,Albania,Fierza,2038,1755.2
FP_COOP20,Albania,Fierza,2039,1752.75
FP_COOP20,Albania,Fierza,2040,1757.7
FP_COOP20,Albania,Fierza,2041,1752.75
FP_COOP20,Albania,Fierza,2042,1614.89
FP_COOP20,Albania,Fierza,2043,1650.83
FP_COOP20,Albania,Fierza,2044,1745.42
FP_COOP20,Albania,Fierza,2045,1784.28
FP_COOP20,Albania,Fierza,2046,1816.42
FP_COOP20,Albania,Fierza,2047,1912.06
FP_COOP20,Albania,Fierza,2048,1801.42
FP_COOP20,Albania,Fierza,2049,1755.2
FP_COOP20,Albania,Fierza,2050,1755.2
FP_COOP20,Albania,Koman,2021,2061.7
FP_COOP20,Albania,Koman,2022,2062.17
FP_COOP20,Albania,Koman,2023,2036.95
FP_COOP20,Albania,Koman,2024,2070.11
FP_COOP20,Albania,Koman,2025,2037.67
FP_COOP20,Albania,Koman,2026,2066.61
FP_COOP20,Albania,Koman,2027,2063.28
FP_COOP20,Albania,Koman,2028,2066.03
FP_COOP20,Albania,Koman,2029,2066.5
FP_COOP20,Albania,Koman,2030,2069.89
FP_COOP20,Albania,Koman,2031,2069.17
FP_COOP20,Albania,Koman,2032,2069.81
FP_COOP20,Albania,Koman,2033,2065.22
FP_COOP20,Albania,Koman,2034,2063.47
FP_COOP20,Albania,Koman,2035,2063.56
FP_COOP20,Albania,Koman,2036,2063.56
FP_COOP20,Albania,Koman,2037,2063.56
FP_COOP20,Albania,Koman,2038,2063.56
FP_COOP20,Albania,Koman,2039,2061.31
FP_COOP20,Albania,Koman,2040,2065.86
FP_COOP20,Albania,Koman,2041,2061.31
FP_COOP20,Albania,Koman,2042,1934.39
FP_COOP20,Albania,Koman,2043,1967.47
FP_COOP20,Albania,Koman,2044,2015.53
FP_COOP20,Albania,Koman,2045,2086.84
FP_COOP20,Albania,Koman,2046,2162.53
FP_COOP20,Albania,Koman,2047,2208.0
FP_COOP20,Albania,Koman,2048,2106.14
FP_COOP20,Albania,Koman,2049,2063.56
FP_COOP20,Albania,Koman,2050,2063.56
FP_COOP20,Albania,Skavica,2025,549.61
FP_COOP20,Albania,Skavica,2026,549.61
FP_COOP20,Albania,Skavica,2027,549.61
FP_COOP20,Albania,Skavica,2028,549.61
FP_COOP20,Albania,Skavica,2029,549.61
FP_COOP20,Albania,Skavica,2030,549.61
FP_COOP20,Albania,Skavica,2031,549.61
FP_COOP20,Albania,Skavica,2032,549.61
FP_COOP20,Albania,Skavica,2033,549.61
FP_COOP20,Albania,Skavica,2034,549.61
FP_COOP20,Albania,Skavica,2035,549.61
FP_COOP20,Albania,Skavica,2036,549.61
FP_COOP20,Albania,Skavica,2037,549.61
FP_COOP20,Albania,Skavica,2038,549.61
FP_COOP20,Albania,Skavica,2039,549.61
FP_COOP20,Albania,Skavica,2040,549.61
FP_COOP20,Albania,Skavica,2041,549.61
FP_COOP20,Albania,Skavica,2042,549.61
FP_COOP20,Albania,Skavica,2043,549.61
FP_COOP20,Albania,Skavica,2044,549.61
FP_COOP20,Albania,Skavica,2045,549.61
FP_COOP20,Albania,Skavica,2046,549.61
FP_COOP20,Albania,Skavica,2047,549.61
FP_COOP20,Albania,Skavica,2048,549.61
FP_COOP20,Albania,Skavica,2049,549.61
FP_COOP20,Albania,Skavica,2050,549.61
FP_COOP20,Albania,Vaudejas,2021,1171.42
FP_COOP20,Albania,Vaudejas,2022,1165.75
FP_COOP20,Albania,Vaudejas,2023,1169.33
FP_COOP20,Albania,Vaudejas,2024,1167.22
FP_COOP20,Albania,Vaudejas,2025,1161.03
FP_COOP20,Albania,Vaudejas,2026,1169.78
FP_COOP20,Albania,Vaudejas,2027,1167.95
FP_COOP20,Albania,Vaudejas,2028,1168.42
FP_COOP20,Albania,Vaudejas,2029,1168.17
FP_COOP20,Albania,Vaudejas,2030,1167.39
FP_COOP20,Albania,Vaudejas,2031,1167.53
FP_COOP20,Albania,Vaudejas,2032,1167.67
FP_COOP20,Albania,Vaudejas,2033,1166.95
FP_COOP20,Albania,Vaudejas,2034,1165.31
FP_COOP20,Albania,Vaudejas,2035,1166.92
FP_COOP20,Albania,Vaudejas,2036,1168.14
