scenario,country,tech,year,value
ND_NO_SKAVICA,Albania,AL-Import,2021,2668.47
ND_NO_SKAVICA,Albania,AL-Import,2022,2711.89
ND_NO_SKAVICA,Albania,AL-Import,2023,2425.17
ND_NO_SKAVICA,Albania,AL-Import,2024,2478.81
ND_NO_SKAVICA,Albania,AL-Import,2025,2558.67
ND_NO_SKAVICA,Albania,AL-Import,2026,2676.25
ND_NO_SKAVICA,Albania,AL-Import,2027,2718.17
ND_NO_SKAVICA,Albania,AL-Import,2028,2895.95
ND_NO_SKAVICA,Albania,AL-Import,2029,2939.25
ND_NO_SKAVICA,Albania,AL-Import,2030,3030.0
ND_NO_SKAVICA,Albania,AL-Import,2031,3034.7
ND_NO_SKAVICA,Albania,AL-Import,2032,3263.95
ND_NO_SKAVICA,Albania,AL-Import,2033,3256.7
ND_NO_SKAVICA,Albania,AL-Import,2034,3347.28
ND_NO_SKAVICA,Albania,AL-Import,2035,3464.03
ND_NO_SKAVICA,Albania,AL-Import,2036,3584.45
ND_NO_SKAVICA,Albania,AL-Import,2037,3680.56
ND_NO_SKAVICA,Albania,AL-Import,2038,3680.56
ND_NO_SKAVICA,Albania,AL-Import,2039,3680.56
ND_NO_SKAVICA,Albania,AL-Import,2040,3680.56
ND_NO_SKAVICA,Albania,AL-Import,2041,3680.56
ND_NO_SKAVICA,Albania,AL-Import,2042,3680.56
ND_NO_SKAVICA,Albania,AL-Import,2043,3680.56
ND_NO_SKAVICA,Albania,AL-Import,2044,3680.56
ND_NO_SKAVICA,Albania,AL-Import,2045,3680.56
ND_NO_SKAVICA,Albania,AL-Import,2046,3680.56
ND_NO_SKAVICA,Albania,AL-Import,2047,3680.56
ND_NO_SKAVICA,Albania,AL-Import,2048,3680.56
ND_NO_SKAVICA,Albania,AL-Import,2049,3680.56
ND_NO_SKAVICA,Albania,AL-Import,2050,3680.56
ND_NO_SKAVICA,Albania,Fierza,2021,1772.56
ND_NO_SKAVICA,Albania,Fierza,2022,1789.5
ND_NO_SKAVICA,Albania,Fierza,2023,1771.53
ND_NO_SKAVICA,Albania,Fierza,2024,1793.42
ND_NO_SKAVICA,Albania,Fierza,2025,1792.06
ND_NO_SKAVICA,Albania,Fierza,2026,1792.61
ND_NO_SKAVICA,Albania,Fierza,2027,1806.83
ND_NO_SKAVICA,Albania,Fierza,2028,1768.97
ND_NO_SKAVICA,Albania,Fierza,2029,1788.86
ND_NO_SKAVICA,Albania,Fierza,2030,1789.2
ND_NO_SKAVICA,Albania,Fierza,2031,1819.86
ND_NO_SKAVICA,Albania,Fierza,2032,1761.45
ND_NO_SKAVICA,Albania,Fierza,2033,1800.75
ND_NO_SKAVICA,Albania,Fierza,2034,1799.22
ND_NO_SKAVICA,Albania,Fierza,2035,1788.45
ND_NO_SKAVICA,Albania,Fierza,2036,1750.89
ND_NO_SKAVICA,Albania,Fierza,2037,1723.28
ND_NO_SKAVICA,Albania,Fierza,2038,1736.03
ND_NO_SKAVICA,Albania,Fierza,2039,1738.72
ND_NO_SKAVICA,Albania,Fierza,2040,1759.5
ND_NO_SKAVICA,Albania,Fierza,2041,1796.81
ND_NO_SKAVICA,Albania,Fierza,2042,1867.86
ND_NO_SKAVICA,Albania,Fierza,2043,1921.89
ND_NO_SKAVICA,Albania,Fierza,2044,1834.0
ND_NO_SKAVICA,Albania,Fierza,2045,1788.45
ND_NO_SKAVICA,Albania,Fierza,2046,1788.45
ND_NO_SKAVICA,Albania,Fierza,2047,1788.45
ND_NO_SKAVICA,Albania,Fierza,2048,1788.45
ND_NO_SKAVICA,Albania,Fierza,2049,1788.45
ND_NO_SKAVICA,Albania,Fierza,2050,1788.45
ND_NO_SKAVICA,Albania,Koman,2021,2010.39
ND_NO_SKAVICA,Albania,Koman,2022,2047.31
ND_NO_SKAVICA,Albania,Koman,2023,2021.95
ND_NO_SKAVICA,Albania,Koman,2024,2044.67
ND_NO_SKAVICA,Albania,Koman,2025,2044.14
ND_NO_SKAVICA,Albania,Koman,2026,2051.08
ND_NO_SKAVICA,Albania,Koman,2027,2065.7
ND_NO_SKAVICA,Albania,Koman,2028,2031.08
ND_NO_SKAVICA,Albania,Koman,2029,2047.56
ND_NO_SKAVICA,Albania,Koman,2030,2047.97
ND_NO_SKAVICA,Albania,Koman,2031,2078.03
ND_NO_SKAVICA,Albania,Koman,2032,2019.42
ND_NO_SKAVICA,Albania,Koman,2033,2054.5
ND_NO_SKAVICA,Albania,Koman,2034,2053.14
ND_NO_SKAVICA,Albania,Koman,2035,2043.53
ND_NO_SKAVICA,Albania,Koman,2036,2010.0
ND_NO_SKAVICA,Albania,Koman,2037,1985.36
ND_NO_SKAVICA,Albania,Koman,2038,1996.72
ND_NO_SKAVICA,Albania,Koman,2039,1999.14
ND_NO_SKAVICA,Albania,Koman,2040,2017.7
ND_NO_SKAVICA,Albania,Koman,2041,2050.97
ND_NO_SKAVICA,Albania,Koman,2042,2114.39
ND_NO_SKAVICA,Albania,Koman,2043,2162.61
ND_NO_SKAVICA,Albania,Koman,2044,2084.17
ND_NO_SKAVICA,Albania,Koman,2045,2043.53
ND_NO_SKAVICA,Albania,Koman,2046,2043.53
ND_NO_SKAVICA,Albania,Koman,2047,2043.53
ND_NO_SKAVICA,Albania,Koman,2048,2043.53
ND_NO_SKAVICA,Albania,Koman,2049,2043.53
ND_NO_SKAVICA,Albania,Koman,2050,2043.53
ND_NO_SKAVICA,Albania,Vaudejas,2021,1150.86
ND_NO_SKAVICA,Albania,Vaudejas,2022,1157.11
ND_NO_SKAVICA,Albania,Vaudejas,2023,1156.78
ND_NO_SKAVICA,Albania,Vaudejas,2024,1156.95
ND_NO_SKAVICA,Albania,Vaudejas,2025,1157.11
ND_NO_SKAVICA,Albania,Vaudejas,2026,1157.22
ND_NO_SKAVICA,Albania,Vaudejas,2027,1166.2
ND_NO_SKAVICA,Albania,Vaudejas,2028,1148.28
ND_NO_SKAVICA,Albania,Vaudejas,2029,1157.7
ND_NO_SKAVICA,Albania,Vaudejas,2030,1157.86
ND_NO_SKAVICA,Albania,Vaudejas,2031,1172.39
ND_NO_SKAVICA,Albania,Vaudejas,2032,1144.7
