tech_code,tech_name,colour
Gas outside Drin,Gas outside Drin,red
Gas inside Drin,Gas inside Drin,darkred
Coal inside Drin,Coal inside Drin,gray
Coal outside Drin,Coal outside Drin,darkgray
Wind outside Drin,Wind outside Drin,pink
Wind inside Drin,Wind inside Drin,deeppink
Hydro inside Drin,Hydro inside Drin,midnightblue
Hydro outside Drin,Hydro outside Drin,blue
Solar PV outside Drin,Solar PV outside Drin,yellow
Solar PV inside Drin,Solar PV inside Drin,lightyellow
Backstop,Backstop,black
Import,Import,gold
Export,Export,orangered
ALPELBS000,AL - BACKSTOP TECHNOLOGY,black
ALRNGDM000,AL - Gas extraction,darkkhaki
ALRNGIM000,AL - Gas Import,darkmagenta
ALPHYDMHI0,AL - Hydro dam inside DRB - Existing,dodgerblue
ALPHYDMNI1,AL - Hydro dam - New Skavica Hpp ,powderblue
ALPHYDMHI2,AL - Hydro dam - Fierza HPP,midnightblue
ALPHYDMHI3,AL - Hydro dam - Koman HPP,blue
ALPHYDMHI4,AL - Hydro dam - Vau I dejes HPP,royalblue
ALPHYDMHO0,AL - Hydro dam outside DRB - Existing,cadetblue
ALPHYDMNO0,AL - Hydro dam outside DRB - New,cornflowerblue
ALPHYRRHI0,AL - Hydro ROR inside - Existing,deepskyblue
ALPHYRRHO0,AL - Hydro ROR outside DRB - Existing,slateblue
ALPHYSHHI0,AL - Hydro Small inside DRB - Existing,skyblue
ALPHYSHHO0,AL - Hydro Small outside DRB - Existing,steelblue
ALPNGCCHO0,AL - Gas Combined Cycle outside DRB - Existing,red
ALPNGCCNO0,AL - Gas Combined Cycle outside DRB - New,darkred
ALPSOU1NO0,AL - Solar PV outside DRB,yellow
ALPSOU1NI0,AL - Solar PV inside DRB,lightyellow
ALPWI30NO0,AL - Wind Turbine outside DRB,pink
ALPWI30NI0,AL - Wind Turbine inside DRB,deeppink
ALTELTRH00,AL Transmission Lines,floralwhite
ALTELDSH00,AL Distribution Lines,forestgreen
ALTRDIMH00,AL - Total Electricity Import,gold
ALTRDEXH00,AL - Total Electricity Export,orangered
ALTRDMKH00,AL- MK Planned Trade link,crimson
ALTRDMEH00,AL- ME Historic Trade Link,cyan
ALTRDXKH00,AL- XK Historic Trade Link,darkblue
ALTRDGRH00,AL-GR Historic Trade Link,darkcyan
GRTRDALH00,GR-AL Historic Trade Link,darkgoldenrod
MKPELBS000,MK - BACKSTOP TECHNOLOGY,black
MKRCODM000,MK - Coal Extraction ,darkgrey
