scenario,country,tech,year,value
ref,Bosnia and Herzegovina,Visegrad,2021,1260.64
ref,Bosnia and Herzegovina,Visegrad,2022,1243.89
ref,Bosnia and Herzegovina,Visegrad,2023,1243.89
ref,Bosnia and Herzegovina,Visegrad,2024,1243.89
ref,Bosnia and Herzegovina,Visegrad,2025,1187.89
ref,Bosnia and Herzegovina,Visegrad,2026,1299.86
ref,Bosnia and Herzegovina,Visegrad,2027,1243.28
ref,Bosnia and Herzegovina,Visegrad,2028,1248.75
ref,Bosnia and Herzegovina,Visegrad,2029,1230.7
ref,Bosnia and Herzegovina,Visegrad,2030,1248.72
ref,Bosnia and Herzegovina,Visegrad,2031,1247.95
ref,Bosnia and Herzegovina,Visegrad,2032,1243.89
ref,Bosnia and Herzegovina,Visegrad,2033,1243.89
ref,Bosnia and Herzegovina,Visegrad,2034,1243.58
ref,Bosnia and Herzegovina,Visegrad,2035,1246.5
ref,Bosnia and Herzegovina,Visegrad,2036,1245.2
ref,Bosnia and Herzegovina,Visegrad,2037,1240.22
ref,Bosnia and Herzegovina,Visegrad,2038,1243.89
ref,Bosnia and Herzegovina,Visegrad,2039,1243.89
ref,Bosnia and Herzegovina,Visegrad,2040,1248.17
ref,Bosnia and Herzegovina,Visegrad,2041,1243.89
ref,Bosnia and Herzegovina,Visegrad,2042,1243.89
ref,Bosnia and Herzegovina,Visegrad,2043,1243.89
ref,Bosnia and Herzegovina,Visegrad,2044,1237.25
ref,Bosnia and Herzegovina,Visegrad,2045,1113.47
ref,Montenegro,Piva,2021,618.86
ref,Montenegro,Piva,2022,603.19
ref,Montenegro,Piva,2023,603.19
ref,Montenegro,Piva,2024,603.19
ref,Montenegro,Piva,2025,405.42
ref,Montenegro,Piva,2026,800.97
ref,Montenegro,Piva,2027,585.97
ref,Montenegro,Piva,2028,620.42
ref,Montenegro,Piva,2029,571.72
ref,Montenegro,Piva,2030,611.64
ref,Montenegro,Piva,2031,626.25
ref,Montenegro,Piva,2032,603.19
ref,Montenegro,Piva,2033,603.19
ref,Montenegro,Piva,2034,600.64
ref,Montenegro,Piva,2035,605.78
ref,Montenegro,Piva,2036,603.19
ref,Montenegro,Piva,2037,603.19
ref,Montenegro,Piva,2038,603.19
ref,Montenegro,Piva,2039,603.19
ref,Montenegro,Piva,2040,603.19
ref,Montenegro,Piva,2041,603.19
ref,Montenegro,Piva,2042,603.19
ref,Montenegro,Piva,2043,603.19
ref,Montenegro,Piva,2044,603.19
ref,Montenegro,Piva,2045,311.44
ref,Republic of Serbia,BajinaBasta,2021,1769.5
ref,Republic of Serbia,BajinaBasta,2022,1745.97
ref,Republic of Serbia,BajinaBasta,2023,1745.97
ref,Republic of Serbia,BajinaBasta,2024,1745.97
ref,Republic of Serbia,BajinaBasta,2025,1667.36
ref,Republic of Serbia,BajinaBasta,2026,1824.56
ref,Republic of Serbia,BajinaBasta,2027,1745.11
ref,Republic of Serbia,BajinaBasta,2028,1752.81
ref,Republic of Serbia,BajinaBasta,2029,1727.45
ref,Republic of Serbia,BajinaBasta,2030,1752.75
ref,Republic of Serbia,BajinaBasta,2031,1751.7
ref,Republic of Serbia,BajinaBasta,2032,1745.97
ref,Republic of Serbia,BajinaBasta,2033,1745.97
ref,Republic of Serbia,BajinaBasta,2034,1745.53
ref,Republic of Serbia,BajinaBasta,2035,1749.64
ref,Republic of Serbia,BajinaBasta,2036,1747.81
ref,Republic of Serbia,BajinaBasta,2037,1740.83
ref,Republic of Serbia,BajinaBasta,2038,1745.97
ref,Republic of Serbia,BajinaBasta,2039,1745.97
ref,Republic of Serbia,BajinaBasta,2040,1751.97
ref,Republic of Serbia,BajinaBasta,2041,1745.97
ref,Republic of Serbia,BajinaBasta,2042,1745.97
ref,Republic of Serbia,BajinaBasta,2043,1745.97
ref,Republic of Serbia,BajinaBasta,2044,1736.67
ref,Republic of Serbia,BajinaBasta,2045,1528.0
ref,Republic of Serbia,Bistrica,2021,514.86
ref,Republic of Serbia,Bistrica,2022,422.33
ref,Republic of Serbia,Bistrica,2023,422.33
ref,Republic of Serbia,Bistrica,2024,422.33
ref,Republic of Serbia,Bistrica,2025,422.33
ref,Republic of Serbia,Bistrica,2026,422.33
ref,Republic of Serbia,Bistrica,2027,454.42
ref,Republic of Serbia,Bistrica,2028,422.33
ref,Republic of Serbia,Bistrica,2029,390.28
ref,Republic of Serbia,Bistrica,2030,440.69
ref,Republic of Serbia,Bistrica,2031,403.97
ref,Republic of Serbia,Bistrica,2032,422.33
ref,Republic of Serbia,Bistrica,2033,422.33
ref,Republic of Serbia,Bistrica,2034,425.53
ref,Republic of Serbia,Bistrica,2035,436.61
ref,Republic of Serbia,Bistrica,2036,432.25
ref,Republic of Serbia,Bistrica,2037,394.97
ref,Republic of Serbia,Bistrica,2038,422.33
ref,Republic of Serbia,Bistrica,2039,422.33
ref,Republic of Serbia,Bistrica,2040,454.42
ref,Republic of Serbia,Bistrica,2041,422.33
ref,Republic of Serbia,Bistrica,2042,422.33
