scenario,country,tech,type,year,value
ets,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2021,513.56
ets,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2022,288.31
ets,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2023,322.28
ets,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2024,147.75
ets,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2025,178.11
ets,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2026,197.11
ets,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2027,33.19
ets,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2028,107.89
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2021,10483.54
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2022,10474.48
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2023,10466.23
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2024,7745.12
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2025,7865.59
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2026,6053.7
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2027,5324.25
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2028,3205.95
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2029,975.22
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2030,838.22
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2031,821.28
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2032,682.44
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2033,488.08
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2034,294.69
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2035,208.17
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2036,162.92
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2037,134.36
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2038,127.56
ets,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2039,94.5
