scenario,country,tech,type,year,value
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2021,475.06
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2022,309.03
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2023,333.36
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2024,148.36
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2025,177.11
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2026,195.19
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2027,183.44
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2028,966.67
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2029,870.14
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2030,948.39
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2031,1100.81
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2032,1116.14
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2033,1108.72
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2034,1102.31
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2035,1090.97
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2036,1086.2
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2037,1155.2
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2038,1170.92
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2039,1190.47
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2040,1262.17
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2041,1291.67
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2042,1316.53
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2043,1340.95
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2044,1317.95
ref,Bosnia and Herzegovina,BAPCOSCHI0,thermal,2045,1364.36
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2021,10483.54
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2022,10483.54
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2023,10472.04
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2024,7748.76
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2025,7868.37
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2026,5970.53
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2027,6038.89
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2028,5234.87
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2029,5234.87
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2030,5234.87
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2031,3342.75
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2032,3342.75
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2033,3342.75
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2034,3342.75
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2035,3342.75
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2036,3342.75
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2037,1892.11
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2038,1892.11
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2039,1892.11
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2040,1892.11
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2041,1892.11
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2042,1892.11
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2043,1892.11
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2044,1892.11
ref,Bosnia and Herzegovina,BAPCOSCHO0,thermal,2045,1892.11
ref,Bosnia and Herzegovina,BAPCOSCNO0,thermal,2024,2944.61
ref,Bosnia and Herzegovina,BAPCOSCNO0,thermal,2025,2944.61
ref,Bosnia and Herzegovina,BAPCOSCNO0,thermal,2026,4907.7
ref,Bosnia and Herzegovina,BAPCOSCNO0,thermal,2027,4907.7
ref,Bosnia and Herzegovina,BAPCOSCNO0,thermal,2028,4907.7
ref,Bosnia and Herzegovina,BAPCOSCNO0,thermal,2029,5037.59
ref,Bosnia and Herzegovina,BAPCOSCNO0,thermal,2030,6059.67
ref,Bosnia and Herzegovina,BAPCOSCNO0,thermal,2031,8217.26
ref,Bosnia and Herzegovina,BAPCOSCNO0,thermal,2032,8334.42
