scenario,country,tech,type,year,value
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2021,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2022,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2023,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2024,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2025,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2026,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2027,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2028,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2029,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2030,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2031,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2032,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2033,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2034,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2035,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2036,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2037,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2038,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2039,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2040,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2041,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2042,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2043,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2044,0.32
ets,Bosnia and Herzegovina,BAPHYDMHI1,hydro,2045,0.32
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2021,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2022,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2023,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2024,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2025,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2026,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2027,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2028,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2029,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2030,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2031,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2032,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2033,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2034,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2035,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2036,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2037,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2038,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2039,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2040,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2041,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2042,1.87
ets,Bosnia and Herzegovina,BAPHYRRHO0,hydro,2043,1.87
