tech_code,tech_name,colour
Coal inside Drina,Coal inside Drina,brown
Coal outside Drina,Coal outside Drina,burlywood
Wind inside Drina,Wind inside Drina,deeppink
Wind outside Drina,Wind outside Drina,pink
Hydro inside Drina,Hydro inside Drina,cadetblue
Hydro outside Drina,Hydro outside Drina,blue
Solar PV inside Drina,Solar PV inside Drina,yellowgreen
Solar PV outside Drina,Solar PV outside Drina,yellow
Backstop,Backstop,black
Import,Import,gold
Export,Export,red
ALELME300,Electricity Traded from AL to ME,orchid
ALELRS300,Electricity Traded from AL to RS,black
BAHREL300,Electricity Trade from BA to HR,pink
BGELRS300,Electricity Traded from BG to RS,brown
HRELBA300,Electricity Traded from HR to BA,aliceblue
HRELRS300,Electricity Traded from HR to RS,antiquewhite
HUELRS300,Electricity Traded from HU to RS,aqua
ITELME300,Electricity Traded from IT to ME,aquamarine
MEELAL300,Electricity Traded from ME to AL,azure
MEELIT300,Electricity Traded from ME to IT,beige
MEELXK300,Electricity Traded from ME to XK,bisque
MKELRS300,Electricity Traded from MK to RS,yellow
ROELRS300,Electricity Traded from RO to RS,blanchedalmond
RSELAL300,Electricity Traded from RS to AL,blue
RSELBG300,Electricity Traded from RS to BG,blueviolet
RSELHR300,Electricity Traded from RS to HR,brown
RSELHU300,Electricity Traded from RS to HU,burlywood
RSELMK300,Electricity Traded from RS to MK,cadetblue
RSELRO300,Electricity Traded from RS to RO,chartreuse
RSELXK300,Electricity Traded from RS to XK,chocolate
XKELME300,Electricity Traded from XK to ME,coral
XKELRS300,Electricity Traded from XK to RS,cornflowerblue
BACO00000,BA Coal,cornsilk
MECO00000,ME Coal,crimson
RSCO00000,RS Coal,cyan
BAEL10000,BA Electricity (From Power Plants to Transmission level),darkblue
BAEL30000,BA Electricity (From Distribution level to Final),darkcyan
MEEL10000,ME Electricity (From Power Plants to Transmission level),darkgoldenrod
MEEL30000,ME Electricity (From Distribution level to Final),black
RSEL10000,RS Electricity (From Power Plants to Transmission level),darkgrey
RSEL30000,RS Electricity (From Distribution level to Final),darkgreen
MEWTPARS2,ME - Water flow in Piva - River Segment 2,darkkhaki
BAWTDRRS1,BA - Water flow in Drina - River Segment 1,darkmagenta
BAWTDRRS2,BA - Water flow in Drina - River Segment 2,darkolivegreen
BAWTDRRS6,BA - Water flow in Drina - River Segment 6,darkorange
BAWTDRRS7,BA - Water flow in Drina - River Segment 7,darkorchid
BAWTDRRS8,BA - Water flow in Drina - River Segment 8,darkred
BAWTDRRS9,BA - Water flow in Drina - River Segment 9,darksalmon
RSWTUCRS2,RS - Water flow in Uvac - River Segment 2,darkseagreen
